epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.29308,0.39347,0.72644,1,0.66735,0.000412281,0.000412281,0.000412281
2,13.7365,0.03112,0.73333,1,0.799,0.000812534,0.000812534,0.000812534
3,19.8424,0.02415,0.7931,1,0.68874,0.00119629,0.00119629,0.00119629
4,25.9392,0.01601,0.63448,1,1.19689,0.00117575,0.00117575,0.00117575
5,32.1297,0.03401,0.76782,1,1.09085,0.001151,0.001151,0.001151
6,38.3804,0.03013,0.65747,1,2.06298,0.00112625,0.00112625,0.00112625
7,44.5224,0.01791,0.69655,1,0.95266,0.0011015,0.0011015,0.0011015
8,50.7541,0.01669,0.58851,1,1.21852,0.00107675,0.00107675,0.00107675
9,57.1403,0.01697,0.76092,1,0.6446,0.001052,0.001052,0.001052
10,63.6733,0.00712,0.8,1,0.71309,0.00102725,0.00102725,0.00102725
11,70.0224,0.00678,0.63678,1,2.28885,0.0010025,0.0010025,0.0010025
12,76.5235,0.00558,0.70115,1,1.1139,0.00097775,0.00097775,0.00097775
13,82.8406,0.00497,0.65057,1,1.02874,0.000953,0.000953,0.000953
14,89.3303,0.00134,0.72414,1,0.891,0.00092825,0.00092825,0.00092825
15,95.6679,0.02443,0.71264,1,1.5354,0.0009035,0.0009035,0.0009035
16,102.078,0.00847,0.68276,1,1.63527,0.00087875,0.00087875,0.00087875
17,108.727,0.00304,0.73793,1,1.56646,0.000854,0.000854,0.000854
18,115.217,0.00766,0.71724,1,1.8338,0.00082925,0.00082925,0.00082925
19,121.602,0.00425,0.71954,1,1.67958,0.0008045,0.0008045,0.0008045
20,128.047,0.0025,0.70575,1,1.86487,0.00077975,0.00077975,0.00077975
21,134.572,0.00293,0.67586,1,1.80626,0.000755,0.000755,0.000755
22,141.784,0.00436,0.64368,1,1.76612,0.00073025,0.00073025,0.00073025
23,148.218,0.00124,0.70345,1,1.30198,0.0007055,0.0007055,0.0007055
24,154.683,0.00077,0.64138,1,2.15323,0.00068075,0.00068075,0.00068075
25,161.194,0.00079,0.63908,1,2.09244,0.000656,0.000656,0.000656
26,168.183,0.00096,0.68276,1,1.4454,0.00063125,0.00063125,0.00063125
27,174.872,0.02302,0.67586,1,1.47077,0.0006065,0.0006065,0.0006065
28,181.477,0.00231,0.66437,1,1.11574,0.00058175,0.00058175,0.00058175
29,187.961,0.00064,0.68276,1,1.12598,0.000557,0.000557,0.000557
30,194.587,0.0012,0.69425,1,1.07041,0.00053225,0.00053225,0.00053225
