epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,644.268,1.58569,2.25728,1.54214,0.66558,0.47839,0.53905,0.26219,1.77435,1.94201,1.81224,0.000666547,0.000666547,0.000666547
2,1272.4,1.69116,1.97729,1.66398,0.68163,0.47486,0.5518,0.29026,1.63487,1.80731,1.70548,0.00126722,0.00126722,0.00126722
3,1895.31,1.66333,1.91687,1.63939,0.69477,0.51523,0.59012,0.31697,1.56346,1.67946,1.65116,0.00180189,0.00180189,0.00180189
4,2612.84,1.59577,1.79709,1.5933,0.74575,0.54356,0.64339,0.35955,1.50486,1.53848,1.59746,0.001703,0.001703,0.001703
5,3229.09,1.54208,1.72237,1.55775,0.71332,0.56624,0.62957,0.34791,1.48245,1.52588,1.54444,0.001604,0.001604,0.001604
6,3847.99,1.48301,1.62645,1.5123,0.76248,0.59845,0.69405,0.40949,1.38671,1.43169,1.48017,0.001505,0.001505,0.001505
7,4459.97,1.45487,1.57709,1.49159,0.77034,0.613,0.70332,0.41775,1.37649,1.35114,1.49046,0.001406,0.001406,0.001406
8,5066.99,1.43273,1.50429,1.4755,0.78028,0.61578,0.70904,0.41748,1.36393,1.3421,1.45027,0.001307,0.001307,0.001307
9,5680.61,1.40389,1.46515,1.45805,0.78832,0.63119,0.7311,0.4424,1.30398,1.23325,1.40418,0.001208,0.001208,0.001208
10,6301.79,1.37199,1.42958,1.42579,0.78669,0.64917,0.74618,0.45845,1.29669,1.18869,1.40704,0.001109,0.001109,0.001109
11,6919.65,1.31855,1.29287,1.41758,0.79786,0.63486,0.73867,0.45378,1.29007,1.17827,1.39754,0.00101,0.00101,0.00101
12,7528.06,1.29098,1.24431,1.39942,0.78732,0.65394,0.74257,0.45775,1.28821,1.17316,1.39936,0.000911,0.000911,0.000911
13,8136.05,1.26586,1.18274,1.37729,0.81754,0.66495,0.76741,0.4786,1.25924,1.10654,1.37732,0.000812,0.000812,0.000812
14,8737.26,1.23373,1.14684,1.35106,0.81569,0.68537,0.77885,0.49149,1.24855,1.06016,1.35993,0.000713,0.000713,0.000713
15,9344.12,1.20971,1.12359,1.33678,0.82735,0.68624,0.78442,0.49486,1.23861,1.04409,1.36002,0.000614,0.000614,0.000614
16,9950.95,1.19609,1.06602,1.31718,0.82115,0.68741,0.78646,0.50507,1.22416,1.01992,1.34738,0.000515,0.000515,0.000515
17,10553.1,1.17155,1.03435,1.30174,0.83487,0.68477,0.79071,0.50853,1.20329,1.00315,1.32846,0.000416,0.000416,0.000416
18,11155.5,1.13943,1.0016,1.27876,0.83647,0.69908,0.79421,0.51422,1.20687,0.9951,1.32287,0.000317,0.000317,0.000317
19,11757.9,1.12306,0.97213,1.26526,0.84413,0.70789,0.80451,0.52481,1.17761,0.96292,1.30653,0.000218,0.000218,0.000218
20,12367.6,1.09391,0.94309,1.24617,0.83719,0.70936,0.80258,0.52097,1.18478,0.96595,1.311,0.000119,0.000119,0.000119
