epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,859.37,1.3053,1.28302,1.37867,0.79514,0.6501,0.73223,0.44451,1.29715,1.17158,1.40959,0.000666548,0.000666548,0.000666548
2,1741.56,1.35261,1.34181,1.4095,0.77276,0.66466,0.74258,0.45261,1.32415,1.1643,1.42931,0.00124522,0.00124522,0.00124522
3,2605.86,1.399,1.39772,1.43561,0.7755,0.63253,0.72473,0.42823,1.34532,1.20826,1.4421,0.0017359,0.0017359,0.0017359
4,3435.06,1.38936,1.39207,1.43251,0.76701,0.67282,0.74834,0.45693,1.31207,1.13887,1.40823,0.001604,0.001604,0.001604
5,4211.22,1.36613,1.3527,1.41124,0.78342,0.64975,0.73773,0.44953,1.32054,1.14276,1.4036,0.001472,0.001472,0.001472
6,4972.75,1.30218,1.20509,1.3936,0.80169,0.63627,0.72948,0.44613,1.29247,1.17067,1.4015,0.00134,0.00134,0.00134
7,5729.81,1.26853,1.14808,1.36433,0.80132,0.64835,0.7425,0.46315,1.27234,1.0902,1.37091,0.001208,0.001208,0.001208
8,6466.94,1.25019,1.12645,1.35712,0.80577,0.65657,0.75037,0.47104,1.2617,1.08815,1.36852,0.001076,0.001076,0.001076
9,7206.95,1.23369,1.06632,1.34041,0.82121,0.66217,0.75905,0.47216,1.26862,1.04355,1.36151,0.000944,0.000944,0.000944
10,7973.95,1.19871,1.04539,1.31138,0.81846,0.67637,0.77142,0.49064,1.23941,1.01018,1.35097,0.000812,0.000812,0.000812
11,8719.54,1.17056,1.00054,1.29129,0.83821,0.67991,0.77362,0.49785,1.21918,0.97818,1.33041,0.00068,0.00068,0.00068
12,9518.45,1.14608,0.9727,1.27923,0.82508,0.68772,0.77602,0.50692,1.20676,0.96578,1.32675,0.000548,0.000548,0.000548
13,10307.1,1.12511,0.93797,1.2574,0.8283,0.68595,0.77771,0.50981,1.18017,0.95416,1.30246,0.000416,0.000416,0.000416
14,11043.6,1.1052,0.90107,1.24423,0.83049,0.6863,0.77825,0.51207,1.17853,0.95817,1.30347,0.000284,0.000284,0.000284
15,11789.8,1.08037,0.87928,1.22756,0.84716,0.69198,0.78835,0.52222,1.15733,0.92547,1.28626,0.000152,0.000152,0.000152
